eigengene,nymph,soldier,worker,boston,raleigh,toronto
MEblue,0.09856216310127786,2.1734808846399506e-7,0.2770948799049725,0.985232301712771,0.8830500958778414,0.8977110868225965
MEturquoise,2.4579753145001527e-6,0.1166540465271059,0.25802419808962695,0.8126788970187948,0.8308343495463337,0.9814886512801304
MEbrown,0.6005627908880029,0.023829187607226722,1.7665930072649665e-4,0.7646811775075886,0.9320063214252023,0.8310299989269716
MEyellow,0.1919392796779101,0.002972869544137177,0.31246944295595386,0.8036364930575797,0.8998133165782127,0.9026621396953377
MEgrey,0.004453988981141089,0.6893907466574133,0.04135557020739475,0.8062228693809717,0.36318338490678126,0.5179424071771539
