eigengene,nymph,soldier,worker,boston,raleigh,toronto
MEblue,-0.5842009820474792,0.9910969612211565,-0.40689597917367737,-0.007249394423274352,0.05756638680712177,-0.05031699238384743
MEturquoise,0.9821515609765828,-0.5602620399526355,-0.42188952102394767,0.09261038772682861,-0.08352302533278086,-0.00908736239404781
MEbrown,-0.20290650065152735,-0.7358075016704958,0.9387140023220231,0.11683266620735355,-0.03340737364209767,-0.08342529256525591
MEyellow,0.47909488675872625,-0.8595351057705929,0.38044021901186653,-0.09715057769231913,0.04927863716143502,0.047871940530884005
MEgrey,-0.8414998103923943,0.15557369875461124,0.6859261116377833,0.09585094704680662,-0.3450133758661401,0.24916242881933337
